5, GLADIATOR   , 20 juin 2000 ," Action, Aventure   (2h35)  ",Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen","Le général romain Maximus est le plus fidèle soutien de l'empereur Marc Aurèle, qu'il a conduit de victoire en victoire avec une bravoure et un dévouement exemplaires. Jaloux du prestige de Maximus, et plus encore de l'amour que lui voue l'empereur, le fils de MarcAurèle, Commode, s'arroge brutalement le pouvoir, puis ordonne l'arrestation du général et son exécution. Maximus échappe à ses assassins mais ne peut empêcher le massacre de sa famille. Capturé par un marchand d'esclaves, il devient gladiateur et prépare sa vengeance."
3, LES VEDETTES   , 09 février 2022 , Comédie   (1h41)  ,Jonathan Barré,"Grégoire Ludig, David Marsais, Julien Pestel","Daniel, un chanteur raté, travaille dans un magasin d’électroménager. Prêt à tout pour rembourser ses dettes et se retrouver sous le feu des projecteurs, il décide d’utiliser Stéphane, un collègue naïf et prétentieux, pour participer à des jeux télévisés."
0, LA FETE DU COURT 2022 : TALENTS D'AUJOURD'HUI 1   , 16 mars 2022 , Divers   (1h12)  ,,,Programme de quatre courts métrages réalisés par la nouvelle génération de cinéastes français.
4, HARRY POTTER 4 - ET LA COUPE DE FEU   , 30 novembre 2005 , Fantastique   (2h37)  ,Mike Newell,"Daniel Radcliffe, Emma Watson, Rupert Grint","La quatrième année à l'école de Poudlard est marquée par le "" Tournoi des trois sorciers "". Les participants sont choisis par la fameuse "" Coupe de Feu "" qui est à l'origine d'un scandale. Elle sélectionne Harry Potter, alors qu'il n'a pas l'âge légal requis ! Accusé de tricherie et mis à mal par une série d'épreuves physiques de plus en plus difficiles, Harry sera enfin confronté à "" Celui-dont-on-ne-doit-pas-prononcer-le-nom ""..."
4, ALICE AU PAYS DES MERVEILLES - DISNEY   , 21 décembre 1951 ," Aventure, Fantastique, Animation   (1h15)  ","Hamilton Luske, Wilfred Jackson, Clyde Geronomi",,"Alors qu'elle se repose sous un arbre, Alice voit passer un lapin blanc. Curieuse, elle le suit et tombe dans un puits. Elle se retrouve dans un monde étrange où se côtoient diverses créatures, certaines amusantes, d'autres terrifiantes, comme la Reine de Coeur qui coupe la tête à tout le monde."
0, LA PART DES ANGES   , 27 juin 2012 , Comédie Dramatique   (1h41)  ,Ken Loach,"Paul Brannigan, John Henshaw, Gary Maitland","A Glasgow, Robbie, tout jeune père de famille, est constamment rattrapé par son passé de délinquant. Il croise la route de Rhino, Albert et la jeune Mo lorsque, comme eux, il échappe de justesse à la prison mais écope d’une peine de travaux d’intérêts généraux."
0, MORT SUR LE NIL   , 09 février 2022 ," Thriller, Policier   (2h07)  ",Kenneth Branagh,"Kenneth Branagh, Gal Gadot, Emma Mackey","Au cours d’une luxueuse croisière sur le Nil, ce qui devait être une lune de miel idyllique se conclut par la mort brutale de la jeune mariée. Ce crime sonne la fin des vacances pour le détective Hercule Poirot. A bord en tant que passager, il se voit confier l’enquête par le capitaine du bateau."
0, LA FETE DU COURT 2022: TALENTS D'AUJOURD'HUI 2   , 16 mars 2022 , Divers   (1h16)  ,,,Programme de trois courts métrages réalisés par la nouvelle génération de cinéastes français.
4, LES NOCES FUNEBRES   , 19 octobre 2005 ," Famille, Comédie Musicale, Romance, Fantastique, Animation   (1h16)  ","Mike Johnson, Tim Burton",,"Au XIXe siècle, dans un petit village d'Europe de l'est, Victor, un jeune homme, découvre le monde de l'au-delà après avoir épousé, sans le vouloir, le cadavre d'une mystérieuse mariée."
5, KILL BILL VOLUME 2   , 17 mai 2004 ," Action, Thriller   (2h17)  ",Quentin Tarantino,"Uma Thurman, David Carradine, Michael Madsen","Laissée pour morte après un massacre dans une chapelle où avait lieu son mariage, l'ancienne tueuse à gages Black Mamba savoure sa vengeance en se préparant à éliminer ses bourreaux Budd, Elle Driver et leur chef Bill qu'elle se réserve pour la fin."
4, ILLUSIONS PERDUES   , 20 octobre 2021 ," Drame, Historique   (2h31)  ",Xavier Giannoli,"Benjamin Voisin, Cécile de France, Vincent Lacoste","Lucien est un jeune poète inconnu dans la France du XIXème siècle. Il a de grandes espérances et veut se forger un destin. Il quitte l’imprimerie familiale de sa province natale pour tenter sa chance à Paris, au bras de sa protectrice."
4, LES NOCES FUNEBRES   , 19 octobre 2005 ," Famille, Comédie Musicale, Romance, Fantastique, Animation   (1h16)  ","Mike Johnson, Tim Burton",,"Au XIXe siècle, dans un petit village d'Europe de l'est, Victor, un jeune homme, découvre le monde de l'au-delà après avoir épousé, sans le vouloir, le cadavre d'une mystérieuse mariée."
0, JUJUTSU KAISEN : MOVIE 0   , 16 mars 2022 ,"Des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs.",Park Sung-ho,,"Lorsqu'ils étaient enfants, Rika Orimoto a perdu la vie dans un accident sous les yeux d’un ami proche, Yuta Okkotsu. « On va se faire une promesse. Quand on sera grands, toi et moi, on se mariera. » Depuis, Rika vient hanter Yuta qui a même souhaité sa propre mort après avoir souffert des années de cette malédiction. Jusqu’au jour où le plus puissant des exorcistes, Satoru Gojo, l'a accueilli dans l'école d'exorcisme. Yuta fait la connaissance des camarades Maki Zenin, Toge Inumaki et du Panda, trouvant enfin un nouveau sens à sa vie."
